cust_id,lookalikes
C0001,"[('C0107', 1.0), ('C0137', 1.0), ('C0174', 1.0)]"
C0002,"[('C0142', 1.0), ('C0177', 1.0), ('C0088', 1.0)]"
C0003,"[('C0190', 1.0), ('C0133', 1.0), ('C0174', 1.0)]"
C0004,"[('C0113', 1.0), ('C0102', 1.0), ('C0104', 1.0)]"
C0005,"[('C0186', 1.0), ('C0159', 1.0), ('C0007', 1.0)]"
C0006,"[('C0168', 1.0), ('C0048', 1.0), ('C0187', 1.0)]"
C0007,"[('C0159', 1.0), ('C0115', 1.0), ('C0005', 1.0)]"
C0008,"[('C0084', 1.0), ('C0093', 1.0), ('C0068', 1.0)]"
C0009,"[('C0198', 1.0), ('C0063', 1.0), ('C0061', 1.0)]"
C0010,"[('C0166', 1.0), ('C0199', 1.0), ('C0073', 1.0)]"
C0011,"[('C0107', 1.0), ('C0048', 1.0), ('C0001', 1.0)]"
C0012,"[('C0155', 1.0), ('C0013', 1.0), ('C0108', 1.0)]"
C0013,"[('C0155', 1.0), ('C0012', 1.0), ('C0163', 1.0)]"
C0014,"[('C0060', 1.0), ('C0198', 1.0), ('C0063', 1.0)]"
C0015,"[('C0020', 1.0), ('C0144', 1.0), ('C0058', 1.0)]"
C0016,"[('C0183', 1.0), ('C0154', 1.0), ('C0117', 1.0)]"
C0017,"[('C0124', 1.0), ('C0041', 1.0), ('C0162', 1.0)]"
C0018,"[('C0067', 1.0), ('C0122', 1.0), ('C0046', 1.0)]"
C0019,"[('C0172', 1.0), ('C0127', 1.0), ('C0069', 1.0)]"
C0020,"[('C0058', 1.0), ('C0033', 1.0), ('C0015', 1.0)]"
